timestamp,load
2024-01-01 00:00:00,58.2
2024-01-01 01:00:00,52.1
2024-01-01 02:00:00,49.8
2024-01-01 03:00:00,48.5
2024-01-01 04:00:00,50.2
2024-01-01 05:00:00,54.3
2024-01-01 06:00:00,62.1
2024-01-01 07:00:00,78.4
2024-01-01 08:00:00,88.2
2024-01-01 09:00:00,92.5
2024-01-01 10:00:00,95.1
2024-01-01 11:00:00,94.8
2024-01-01 12:00:00,91.2
2024-01-01 13:00:00,89.5
2024-01-01 14:00:00,90.3
2024-01-01 15:00:00,88.7
2024-01-01 16:00:00,85.2
2024-01-01 17:00:00,82.4
2024-01-01 18:00:00,79.1
2024-01-01 19:00:00,75.8
2024-01-01 20:00:00,72.3
2024-01-01 21:00:00,66.5
2024-01-01 22:00:00,62.8
2024-01-01 23:00:00,59.4
2024-01-02 00:00:00,57.8
2024-01-02 01:00:00,53.2
2024-01-02 02:00:00,50.1
2024-01-02 03:00:00,49.2
2024-01-02 04:00:00,51.0
2024-01-02 05:00:00,55.6
2024-01-02 06:00:00,63.4
2024-01-02 07:00:00,79.8
2024-01-02 08:00:00,89.1
2024-01-02 09:00:00,93.2
2024-01-02 10:00:00,96.0
2024-01-02 11:00:00,95.5
2024-01-02 12:00:00,92.1
2024-01-02 13:00:00,90.2
2024-01-02 14:00:00,91.0
2024-01-02 15:00:00,89.3
2024-01-02 16:00:00,86.1
2024-01-02 17:00:00,83.2
2024-01-02 18:00:00,80.0
2024-01-02 19:00:00,76.5
2024-01-02 20:00:00,73.1
2024-01-02 21:00:00,67.2
2024-01-02 22:00:00,63.5
2024-01-02 23:00:00,60.0
2024-01-03 00:00:00,58.5
2024-01-03 01:00:00,54.0
2024-01-03 02:00:00,51.2
2024-01-03 03:00:00,49.8
2024-01-03 04:00:00,51.5
2024-01-03 05:00:00,56.2
2024-01-03 06:00:00,64.2
2024-01-03 07:00:00,80.5
2024-01-03 08:00:00,90.0
2024-01-03 09:00:00,94.0
2024-01-03 10:00:00,96.8
2024-01-03 11:00:00,96.2
2024-01-03 12:00:00,93.0
2024-01-03 13:00:00,91.0
2024-01-03 14:00:00,91.8
2024-01-03 15:00:00,90.0
2024-01-03 16:00:00,87.0
2024-01-03 17:00:00,84.0
2024-01-03 18:00:00,80.8
2024-01-03 19:00:00,77.2
2024-01-03 20:00:00,73.8
2024-01-03 21:00:00,68.0
2024-01-03 22:00:00,64.2
2024-01-03 23:00:00,60.6
2024-01-04 00:00:00,59.0
2024-01-04 01:00:00,54.8
2024-01-04 02:00:00,52.0
2024-01-04 03:00:00,50.5
2024-01-04 04:00:00,52.2
2024-01-04 05:00:00,56.8
2024-01-04 06:00:00,65.0
2024-01-04 07:00:00,81.2
2024-01-04 08:00:00,90.8
2024-01-04 09:00:00,94.8
2024-01-04 10:00:00,97.5
2024-01-04 11:00:00,96.9
2024-01-04 12:00:00,93.8
2024-01-04 13:00:00,91.8
2024-01-04 14:00:00,92.5
2024-01-04 15:00:00,90.7
2024-01-04 16:00:00,87.8
2024-01-04 17:00:00,84.8
2024-01-04 18:00:00,81.5
2024-01-04 19:00:00,78.0
2024-01-04 20:00:00,74.5
2024-01-04 21:00:00,68.8
2024-01-04 22:00:00,65.0
2024-01-04 23:00:00,61.2
2024-01-05 00:00:00,59.5
2024-01-05 01:00:00,55.5
2024-01-05 02:00:00,52.8
2024-01-05 03:00:00,51.2
2024-01-05 04:00:00,52.8
2024-01-05 05:00:00,57.4
2024-01-05 06:00:00,65.8
2024-01-05 07:00:00,81.8
2024-01-05 08:00:00,91.5
2024-01-05 09:00:00,95.5
2024-01-05 10:00:00,98.2
2024-01-05 11:00:00,97.6
2024-01-05 12:00:00,94.5
2024-01-05 13:00:00,92.5
2024-01-05 14:00:00,93.2
2024-01-05 15:00:00,91.4
2024-01-05 16:00:00,88.5
2024-01-05 17:00:00,85.5
2024-01-05 18:00:00,82.2
2024-01-05 19:00:00,78.6
2024-01-05 20:00:00,75.1
2024-01-05 21:00:00,69.5
2024-01-05 22:00:00,65.8
2024-01-05 23:00:00,61.8
2024-01-06 00:00:00,60.0
2024-01-06 01:00:00,56.2
2024-01-06 02:00:00,53.5
2024-01-06 03:00:00,51.9
2024-01-06 04:00:00,53.5
2024-01-06 05:00:00,58.0
2024-01-06 06:00:00,66.5
2024-01-06 07:00:00,82.5
2024-01-06 08:00:00,92.2
2024-01-06 09:00:00,96.2
2024-01-06 10:00:00,98.8
2024-01-06 11:00:00,98.2
2024-01-06 12:00:00,95.1
2024-01-06 13:00:00,93.1
2024-01-06 14:00:00,93.8
2024-01-06 15:00:00,92.0
2024-01-06 16:00:00,89.1
2024-01-06 17:00:00,86.1
2024-01-06 18:00:00,82.8
2024-01-06 19:00:00,79.2
2024-01-06 20:00:00,75.6
2024-01-06 21:00:00,70.1
2024-01-06 22:00:00,66.5
2024-01-06 23:00:00,62.4
